tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
9820901,142,6765,4095,9.988,11.872
9853211,142,6759,4095,9.975,11.859
9885549,142,6758,4095,9.973,11.857
9917859,143,6765,4095,9.988,11.872
9950185,144,6779,4095,10.017,11.901
9982508,145,6801,4095,10.063,11.947
10014842,146,6822,4095,10.106,11.990
10047151,147,6853,4095,10.171,12.055
10079475,148,6887,4095,10.242,12.126
10111807,150,6928,4095,10.327,12.211
10144138,152,6989,4095,10.454,12.338
10176450,153,7062,4095,10.606,12.490
10208769,155,7124,4095,10.736,12.619
10241103,157,7186,4095,10.865,12.749
10273427,159,7250,4095,10.998,12.882
10305739,160,7314,4095,11.131,13.015
10338063,162,7568,4095,11.661,13.544
10370393,164,7804,4095,12.152,14.036
10402723,165,7938,4095,12.431,14.315
10435029,167,8040,4095,12.644,14.528
10467352,168,8133,4095,12.838,14.722
10499675,170,8224,4095,13.027,14.911
10532015,171,8317,4095,13.221,15.105
10564325,173,8407,4095,13.409,15.292
10596644,174,8503,4095,13.609,15.492
10628965,175,8598,4095,13.806,15.690
10661305,176,8690,4095,13.998,15.882
10693617,177,8779,4095,14.184,16.067
10725940,178,8811,4095,14.250,16.134
10758261,178,8836,4095,14.302,16.186
10790598,179,8941,4095,14.521,16.405
10822907,179,9114,4095,14.881,16.765
10855230,180,9272,4095,15.211,17.094
10887553,180,9400,4095,15.477,17.361
10919885,180,9518,4095,15.723,17.607
10952190,180,9628,4095,15.952,17.836
10984519,180,9743,4095,16.192,18.076
11016836,180,9867,4095,16.450,18.334
11049172,180,9977,4095,16.679,18.563
11081476,179,10080,4095,16.894,18.778
11113797,179,10177,4095,17.096,18.980
11146096,179,10255,4095,17.259,19.142
11178420,179,10346,4095,17.448,19.332
11210747,178,10447,4095,17.659,19.542
11243077,178,10537,4095,17.846,19.730
11275386,177,10620,4095,18.019,19.903
11307706,177,10698,4095,18.181,20.065
11340038,177,10770,4095,18.331,20.215
11372366,177,10838,4095,18.473,20.357
11404678,177,10902,4095,18.606,20.490
11437002,177,10961,4095,18.729,20.613
11469314,176,11016,4095,18.844,20.728
11501660,175,11070,4095,18.956,20.840
11533968,173,11119,4095,19.059,20.942
11566291,172,11149,4095,19.121,21.005
11598614,171,11194,4095,19.215,21.099
11630954,170,11235,4095,19.300,21.184
11663264,169,11269,4095,19.371,21.255
11695584,168,11293,4095,19.421,21.305
11727906,167,11310,4095,19.456,21.340
11760241,166,11328,4095,19.494,21.378
11792554,165,11328,4095,19.494,21.378
11824879,164,11287,4095,19.409,21.292
11857189,163,11255,4095,19.342,21.226
11889525,162,11227,4095,19.284,21.167
11921816,161,11195,4095,19.217,21.101
11954138,161,11155,4095,19.134,21.017
11986448,160,10955,4095,18.717,20.601
12018767,159,10741,4095,18.271,20.155
12051101,158,10651,4095,18.084,19.967
12083427,158,10580,4095,17.936,19.819
12115740,157,10538,4095,17.848,19.732
12148063,156,10510,4095,17.790,19.674
12180384,155,10646,4095,18.073,19.957
12212719,155,10655,4095,18.092,19.976
12245029,154,10472,4095,17.711,19.594
12277352,154,10437,4095,17.638,19.522
12309675,153,10326,4095,17.406,19.290
12342015,152,10279,4095,17.309,19.192
12374327,152,10229,4095,17.204,19.088
12406646,151,10174,4095,17.090,18.974
12438969,151,10116,4095,16.969,18.853
12471305,150,10063,4095,16.859,18.742
12503617,150,10010,4095,16.748,18.632
12535941,150,9945,4095,16.613,18.497
12568261,149,9885,4095,16.488,18.372
12600598,149,9981,4095,16.688,18.572
12632907,149,10033,4095,16.796,18.680
12665230,150,10021,4095,16.771,18.655
12697552,151,9996,4095,16.719,18.603
12729884,153,9955,4095,16.634,18.517
12762189,154,9905,4095,16.529,18.413
12794518,155,9854,4095,16.423,18.307
12826833,157,9807,4095,16.325,18.209
12859169,158,9765,4095,16.238,18.122
12891474,159,9729,4095,16.163,18.047
12923795,161,9699,4095,16.100,17.984
12956095,162,9675,4095,16.050,17.934
12988416,164,9657,4095,16.013,17.897
13020747,165,9650,4095,15.998,17.882
13053077,164,9649,4095,15.996,17.880
13085388,163,9656,4095,16.011,17.894
13117707,162,9672,4095,16.044,17.928
13150040,162,9694,4095,16.090,17.974
13182366,161,9719,4095,16.142,18.026
13214678,160,9735,4095,16.175,18.059
13247002,159,9759,4095,16.225,18.109
13279312,159,9789,4095,16.288,18.172
13311658,158,9819,4095,16.350,18.234
13343968,157,9849,4095,16.413,18.297
13376291,156,9877,4095,16.471,18.355
13408612,156,9906,4095,16.531,18.415
13440954,155,9921,4095,16.563,18.447
13473264,154,9942,4095,16.606,18.490
13505583,154,9946,4095,16.615,18.499
13537905,153,9949,4095,16.621,18.505
13570241,152,9949,4095,16.621,18.505
13602552,152,9944,4095,16.611,18.494
13634879,151,9931,4095,16.584,18.467
13667189,150,9914,4095,16.548,18.432
13699525,150,9893,4095,16.504,18.388
13731846,149,9868,4095,16.452,18.336
13764168,149,9837,4095,16.388,18.272
13796490,148,9808,4095,16.327,18.211
13828823,147,9778,4095,16.265,18.149
13861145,147,9738,4095,16.181,18.065
13893463,146,9693,4095,16.088,17.972
13925785,146,9648,4095,15.994,17.878
13958117,145,9603,4095,15.900,17.784
13990429,145,9558,4095,15.806,17.690
14022757,144,9513,4095,15.713,17.597
14055076,144,9432,4095,15.544,17.428
14087407,143,9183,4095,15.025,16.909
14119719,143,9042,4095,14.731,16.615
14152053,142,8969,4095,14.579,16.463
14184373,142,8919,4095,14.475,16.359
14216701,141,8878,4095,14.390,16.274
14249009,141,8842,4095,14.315,16.199
14281335,140,8805,4095,14.238,16.122
14313649,140,8769,4095,14.163,16.047
14345987,139,8731,4095,14.084,15.967
14378289,139,8690,4095,13.998,15.882
14410631,138,8649,4095,13.913,15.797
