tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
12632850,149,14373,4095,19.255,27.722
12665187,150,14314,4095,19.132,27.599
12697488,151,14292,4095,19.086,27.553
12729815,153,14263,4095,19.025,27.492
12762116,154,14189,4095,18.871,27.338
12794440,155,14122,4095,18.732,27.199
12826760,157,14081,4095,18.646,27.113
12859088,158,14055,4095,18.592,27.059
12891410,159,14037,4095,18.555,27.022
12923728,161,14028,4095,18.536,27.003
12956049,162,14027,4095,18.534,27.001
12988382,164,14036,4095,18.552,27.019
13020692,165,14055,4095,18.592,27.059
13053022,164,14089,4095,18.663,27.130
13085337,163,14135,4095,18.759,27.226
13117672,162,14192,4095,18.877,27.344
13149991,162,14255,4095,19.009,27.476
13182320,161,14321,4095,19.146,27.613
13214637,160,14386,4095,19.282,27.749
13246966,159,14449,4095,19.413,27.880
13279274,159,14508,4095,19.536,28.003
13311605,158,14558,4095,19.640,28.107
13343927,157,14601,4095,19.730,28.197
13376260,156,14626,4095,19.782,28.249
13408570,156,14635,4095,19.800,28.267
13440900,155,14718,4095,19.973,28.440
13473210,154,14764,4095,20.069,28.536
13505545,154,14786,4095,20.115,28.582
13537845,153,14779,4095,20.100,28.567
13570167,152,14733,4095,20.005,28.472
13602472,152,14703,4095,19.942,28.409
13634789,151,14675,4095,19.884,28.351
13667111,150,14643,4095,19.817,28.284
13699443,150,14605,4095,19.738,28.205
13731760,149,14562,4095,19.648,28.115
13764083,149,14514,4095,19.548,28.015
13796398,148,14461,4095,19.438,27.905
13828733,147,14405,4095,19.321,27.788
13861046,147,14340,4095,19.186,27.653
13893373,146,14260,4095,19.019,27.486
13925695,146,14195,4095,18.884,27.351
13958027,145,14135,4095,18.759,27.226
13990345,145,14080,4095,18.644,27.111
14022663,144,14029,4095,18.538,27.005
14054984,144,13985,4095,18.446,26.913
14087319,143,13943,4095,18.359,26.826
14119627,143,13900,4095,18.269,26.736
14151961,142,13853,4095,18.171,26.638
14184271,142,13803,4095,18.067,26.534
14216606,141,13751,4095,17.959,26.426
14248906,141,13698,4095,17.848,26.315
14281231,140,13642,4095,17.732,26.199
14313533,140,13584,4095,17.611,26.078
14345850,139,13525,4095,17.488,25.955
14378172,139,13466,4095,17.365,25.832
14410506,138,13405,4095,17.238,25.705
14442821,138,13346,4095,17.115,25.582
14475144,138,13286,4095,16.990,25.457
14507458,137,13227,4095,16.867,25.334
14539794,137,13170,4095,16.748,25.215
14572111,136,13114,4095,16.632,25.099
14604434,136,13060,4095,16.519,24.986
14636755,136,13004,4095,16.402,24.869
14669087,135,12949,4095,16.288,24.755
14701411,135,12896,4095,16.177,24.644
14733728,135,12847,4095,16.075,24.542
14766048,134,12802,4095,15.982,24.449
14798381,134,12763,4095,15.900,24.367
14830690,134,12731,4095,15.834,24.301
14863023,134,12693,4095,15.755,24.222
14895333,133,12653,4095,15.671,24.138
14927668,133,12614,4095,15.590,24.057
14959968,133,12576,4095,15.511,23.978
14992310,133,12540,4095,15.436,23.903
15024632,132,12505,4095,15.363,23.830
15056967,132,12472,4095,15.294,23.761
15089274,132,12442,4095,15.232,23.699
15121606,132,12413,4095,15.171,23.638
15153927,131,12386,4095,15.115,23.582
15186260,131,12360,4095,15.061,23.528
15218568,131,12334,4095,15.007,23.474
15250900,131,12308,4095,14.952,23.419
15283214,131,12365,4095,15.071,23.538
15315550,131,12354,4095,15.048,23.515
15347859,130,12294,4095,14.923,23.390
15380186,130,12257,4095,14.846,23.313
15412508,130,12251,4095,14.834,23.301
15444842,130,12240,4095,14.811,23.278
15477151,130,12219,4095,14.767,23.234
15509475,130,12196,4095,14.719,23.186
15541806,130,12163,4095,14.650,23.117
15574138,130,12134,4095,14.590,23.057
15606448,130,12133,4095,14.588,23.055
15638767,129,12107,4095,14.534,23.001
15671101,129,12102,4095,14.523,22.990
15703427,129,12096,4095,14.511,22.978
15735736,129,12070,4095,14.457,22.924
15768063,129,12049,4095,14.413,22.880
15800383,129,12031,4095,14.375,22.842
15832719,129,12019,4095,14.350,22.817
15865029,129,12007,4095,14.325,22.792
15897352,129,11997,4095,14.305,22.772
15929673,129,11988,4095,14.286,22.753
15962015,129,11986,4095,14.282,22.749
15994325,129,11995,4095,14.300,22.767
16026644,129,11996,4095,14.302,22.769
16058966,129,11992,4095,14.294,22.761
16091305,130,11994,4095,14.298,22.765
16123615,130,11991,4095,14.292,22.759
16155940,130,11966,4095,14.240,22.707
16188256,130,11947,4095,14.200,22.667
16220598,130,11939,4095,14.184,22.651
16252907,130,11936,4095,14.177,22.644
16285521,142,11939,4095,14.184,22.651
16317832,142,11945,4095,14.196,22.663
16350156,142,11957,4095,14.221,22.688
16382472,142,11964,4095,14.236,22.703
16414789,143,12000,4095,14.311,22.778
16447111,144,12055,4095,14.425,22.892
16479444,145,12158,4095,14.640,23.107
16511758,146,12270,4095,14.873,23.340
16544083,147,12365,4095,15.071,23.538
16576393,148,12461,4095,15.271,23.738
16608728,150,12564,4095,15.486,23.953
16641031,152,12673,4095,15.713,24.180
16673350,153,12775,4095,15.925,24.392
16705655,155,12880,4095,16.144,24.611
16737973,157,12991,4095,16.375,24.842
16770305,159,13102,4095,16.607,25.074
16802631,160,13225,4095,16.863,25.330
16834941,162,13352,4095,17.127,25.594
16867267,164,13469,4095,17.371,25.838
16899585,165,13586,4095,17.615,26.082
16931924,167,13706,4095,17.865,26.332
16964233,168,13819,4095,18.100,26.567
16996556,170,13930,4095,18.332,26.799
17028877,171,14027,4095,18.534,27.001
17061218,173,14132,4095,18.752,27.219
17093527,174,14246,4095,18.990,27.457
17125845,175,14378,4095,19.265,27.732
17158161,176,14503,4095,19.525,27.992
17190506,177,14623,4095,19.775,28.242
17222818,178,14742,4095,20.023,28.490
17255145,178,14862,4095,20.273,28.740
17287454,179,14983,4095,20.525,28.992
17319790,179,15104,4095,20.777,29.244
17352112,180,15225,4095,21.030,29.497
17384434,180,15326,4095,21.240,29.707
17416755,180,15424,4095,21.444,29.911
17449088,180,15530,4095,21.665,30.132
17481410,180,15653,4095,21.921,30.388
17513728,180,15764,4095,22.152,30.619
17546050,180,15862,4095,22.357,30.824
17578382,179,15954,4095,22.548,31.015
17610691,179,16040,4095,22.727,31.194
17643023,179,16117,4095,22.888,31.355
17675341,179,16167,4095,22.992,31.459
17707672,178,16213,4095,23.088,31.555
